trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,13,4.760524807999181,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,11,-19.19083811914991,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,0,-200.99875407572733,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-129.79733964439114,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",30,0,-89.84620973601821,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-114.5261941859665,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-142.05798695066665,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-49.46132844686892,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-140.02932928587154,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-77.43087641058177,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,5,-105.18655734686116,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-107.24364546378504,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-154.083123651302,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",35,0,-238.21262375187604,"{0: 20, 1: 1, 2: 10, 3: 0, 4: 4}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,12,-42.96206278124135,"{0: 8, 1: 2, 2: 1, 3: 2, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-151.72852388695574,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-126.38609408918124,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,6,-32.84002390422599,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-104.54190959735365,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,0,-142.68472904460597,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,7,-57.714104620310735,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
